"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","playerid"
"Jose Altuve","HOU","138","598","532","144","26","2","23","90","69","54","90","4","8","3","",".271",".341",".457",".798",".342","","-3.2","0.4","","3.4","5417"
"Tim Anderson","CHW","144","621","585","172","32","2","21","92","67","25","127","4","20","6","",".293",".325",".462",".786",".335","","-5.9","2.0","","3.4","15172"
"Tyler O'Neill","STL","137","592","530","136","25","2","35","87","93","46","178","10","13","4","",".256",".325",".507",".832",".352","","1.5","1.2","","3.4","15711"
"Seiya Suzuki","CHC","125","539","467","135","25","1","26","77","82","62","99","5","9","6","",".289",".375",".518",".893",".376","","-0.1","-1.1","","3.4","30116"
"Sean Murphy","OAK","112","447","393","91","23","2","19","54","59","41","117","9","1","0","",".231",".315",".439",".754",".325","","2.9","-0.3","","3.3","19352"
"Austin Riley","ATL","142","616","551","150","30","2","31","83","94","51","160","9","1","1","",".272",".341",".500",".841",".357","","-4.1","-1.4","","3.3","18360"
"Ketel Marte","ARI","138","595","535","153","36","4","19","77","70","47","93","6","5","1","",".285",".347",".472",".820",".350","","-0.3","0.1","","3.3","13613"
"Shohei Ohtani","LAA","136","587","502","129","24","5","37","93","93","76","168","3","22","8","",".257",".357",".543",".900",".372","","0.0","0.4","","3.3","19755"
"Max Muncy","LAD","131","565","467","114","21","2","31","85","93","85","127","9","3","1","",".243",".367",".495",".862",".368","","0.0","-0.2","","3.3","13301"
"Cedric Mullins","BAL","143","617","553","142","28","5","23","80","64","50","121","6","24","7","",".258",".324",".452",".776",".332","","0.7","2.0","","3.2","17929"
"Jorge Polanco","MIN","138","598","541","147","31","3","24","82","82","47","108","4","10","5","",".271",".331",".472",".803",".343","","-3.5","-0.1","","3.2","13152"
"Harrison Bader","STL","131","566","501","123","27","2","19","70","66","46","137","12","13","4","",".246",".323",".424",".746",".320","","8.0","0.9","","3.2","18030"
"Jake Cronenworth","SDP","134","577","509","137","29","6","15","75","67","54","86","8","6","3","",".269",".346",".438",".783",".336","","2.0","-0.5","","3.2","18036"
"Trent Grisham","SDP","130","564","485","117","25","4","19","74","62","67","129","5","14","4","",".241",".338",".423",".761",".330","","3.6","0.6","","3.2","18564"
"Enrique Hernández","BOS","137","591","522","131","32","3","22","82","68","55","116","8","2","0","",".250",".329",".450",".779",".335","","2.7","0.5","","3.1","10472"
"Paul Goldschmidt","STL","148","639","558","150","29","2","26","89","84","71","137","4","7","2","",".268",".352",".468",".820",".352","","1.7","0.3","","3.1","9218"
"Jonathan India","CIN","131","568","482","124","29","2","18","83","61","62","126","17","10","3","",".256",".359",".435",".793",".346","","1.6","0.0","","3.0","21523"
"Fernando Tatis Jr.","SDP","69","298","259","73","14","1","21","51","51","33","74","3","12","4","",".281",".366",".585",".951",".396","","-0.9","1.2","","3.0","19709"
"Christian Yelich","MIL","136","587","494","129","26","3","24","84","79","83","144","6","13","3","",".261",".371",".469",".840",".360","","-1.2","1.5","","3.0","11477"
"Yoán Moncada","CHW","118","509","437","112","24","2","16","65","61","60","132","6","3","1","",".255",".351",".430",".781",".340","","0.4","0.0","","2.9","17232"
"J.P. Crawford","SEA","144","624","552","143","31","2","11","74","55","58","106","7","6","4","",".260",".336",".381",".717",".315","","-0.7","-0.8","","2.9","15491"
"Ke'Bryan Hayes","PIT","131","565","508","133","32","3","13","68","60","48","120","4","11","2","",".263",".329",".414",".743",".322","","6.5","0.9","","2.9","18577"
